campaign,case_id,case_kind,fault_id,coordinate,baseline_detected,strict_independent_baseline_detected,baseline_caught_detectors,baseline_first_detector,baseline_first_stage,baseline_first_scope,forkaudit_detected,forkaudit_first_predicate,forkaudit_first_stage,forkaudit_first_scope,catch_relation,execution_relationship
designer_executor_r33,designer/HF01_DELAYED_TAIL_DETACH/clean,clean,HF01_DELAYED_TAIL_DETACH,rank-0,false,false,,,,,false,,,,clean_pass,same R33 case/capture; plain receipt checks are not independently instrumented except semantic observers
designer_executor_r33,designer/HF01_DELAYED_TAIL_DETACH/fault,fault,HF01_DELAYED_TAIL_DETACH,rank-0,true,false,B5_PERSISTENT_BASE_IMMUTABILITY;B7_BASIC_LIFECYCLE_CARDINALITY,B7_BASIC_LIFECYCLE_CARDINALITY,dispatch_or_transition,tail_copy_before_first_append,true,TAIL_COPY_BEFORE_FIRST_APPEND_WRITE,dispatch_or_transition,TAIL_COPY_BEFORE_FIRST_APPEND_WRITE,redundant_both,same R33 case/capture; plain receipt checks are not independently instrumented except semantic observers
designer_executor_r33,designer/HF02_INACTIVE_DOCUMENT_LANE_SCRIBBLE/clean,clean,HF02_INACTIVE_DOCUMENT_LANE_SCRIBBLE,rank-1,false,false,,,,,false,,,,clean_pass,same R33 case/capture; plain receipt checks are not independently instrumented except semantic observers
designer_executor_r33,designer/HF02_INACTIVE_DOCUMENT_LANE_SCRIBBLE/fault,fault,HF02_INACTIVE_DOCUMENT_LANE_SCRIBBLE,rank-1,true,false,B5_PERSISTENT_BASE_IMMUTABILITY,B5_PERSISTENT_BASE_IMMUTABILITY,post_transition_state,persistent GDN/document physical digest,true,PHYSICAL_DOCUMENT_PREFIX_IMMUTABLE,post_transition_state,PHYSICAL_DOCUMENT_PREFIX_IMMUTABLE,redundant_both,same R33 case/capture; plain receipt checks are not independently instrumented except semantic observers
designer_executor_r33,designer/HF03_DUPLICATE_COMMITTED_DISPATCH/clean,clean,HF03_DUPLICATE_COMMITTED_DISPATCH,rank-2,false,false,,,,,false,,,,clean_pass,same R33 case/capture; plain receipt checks are not independently instrumented except semantic observers
designer_executor_r33,designer/HF03_DUPLICATE_COMMITTED_DISPATCH/fault,fault,HF03_DUPLICATE_COMMITTED_DISPATCH,rank-2,true,false,B7_BASIC_LIFECYCLE_CARDINALITY,B7_BASIC_LIFECYCLE_CARDINALITY,dispatch_or_transition,extra_committed_call_count_equals_zero,true,ORDERED_CALL_CARDINALITY,post_transition_state,ORDERED_CALL_CARDINALITY,redundant_both,same R33 case/capture; plain receipt checks are not independently instrumented except semantic observers
designer_executor_r33,designer/HF04_EFFECTIVE_SCALE_DRIFT/clean,clean,HF04_EFFECTIVE_SCALE_DRIFT,rank-3,false,false,,,,,false,,,,clean_pass,same R33 case/capture; plain receipt checks are not independently instrumented except semantic observers
designer_executor_r33,designer/HF04_EFFECTIVE_SCALE_DRIFT/fault,fault,HF04_EFFECTIVE_SCALE_DRIFT,rank-3,true,true,B2_TOKEN_EQUALITY;B3_FULL_LOGIT_EQUALITY;B4_STRUCTURAL_SEQUENCE_ARGUMENT,B4_STRUCTURAL_SEQUENCE_ARGUMENT,dispatch_or_transition,layer 3 attention scale,true,ATTENTION_EFFECTIVE_SCALE,dispatch_or_transition,ATTENTION_EFFECTIVE_SCALE,redundant_both,same R33 case/capture; plain receipt checks are not independently instrumented except semantic observers
designer_executor_r33,designer/HF05_STALE_GDN_BINDING_TOKEN_AFTER_REBIND/clean,clean,HF05_STALE_GDN_BINDING_TOKEN_AFTER_REBIND,rank-4,false,false,,,,,false,,,,clean_pass,same R33 case/capture; plain receipt checks are not independently instrumented except semantic observers
designer_executor_r33,designer/HF05_STALE_GDN_BINDING_TOKEN_AFTER_REBIND/fault,fault,HF05_STALE_GDN_BINDING_TOKEN_AFTER_REBIND,rank-4,true,false,B7_BASIC_LIFECYCLE_CARDINALITY,B7_BASIC_LIFECYCLE_CARDINALITY,dispatch_or_transition,stale_binding_token_count_equals_zero,true,GDN_COMPLETED_BINDING_TOKEN_ADVANCE,post_transition_state,GDN_COMPLETED_BINDING_TOKEN_ADVANCE,redundant_both,same R33 case/capture; plain receipt checks are not independently instrumented except semantic observers
