method_id	method_statement	source_path	symbol_or_lines	configuration_or_runtime	manuscript_locations
M-KV-ARENA	A fixed NHD block pool stores immutable document pages plus preallocated request-private pages.	evidence/round_04_rr2_package/executed_source/gpu/qcomem_vllm_paged_kernel.py	Q16PagedArena.from_dense_document	page_size=128; BF16/Q16; batch=1	Secs. 3--4.1 [label:sec:contract]; Figs. 1--2 [label:fig:architecture]
M-KV-FORK	A request fork copies a block table, shares immutable document blocks, and uses a disjoint private reservation.	evidence/round_04_rr2_package/executed_source/gpu/qcomem_vllm_paged_kernel.py	Q16PagedArena.fork; Q16PagedSequence	max_forks=N; 40 append slots reserved, 39 populated	Sec. 3 [label:sec:contract]; Figs. 1--2 [label:fig:architecture]
M-TAIL-COW	Appending to a partial immutable document page first copies only the valid tail into a request-private page.	evidence/round_04_rr2_package/executed_source/gpu/qcomem_vllm_paged_kernel.py	Q16PagedSequence._detach_partial_document_tail	4095 mod 128 = 127	Sec. 3 invariant 4 [label:sec:contract]; Sec. 4.1 [label:sec:protocol]
M-HYBRID-FRESH	The source-retaining materialize arm creates N independent full-attention arenas while using the common functional GDN strategy.	evidence/round_04_rr2_package/executed_source/gpu/qcomem_vllm_paged_multifork_resident.py	_fresh_request; build_resident_request_group	policy=vllm-q16-fresh-full-copy-control	Secs. 3--5.3 [label:sec:contract]; Figs. 1--2 [label:fig:architecture]
M-HYBRID-REUSE	The shared-document arm forks private page reservations from one full-attention source arena while using the common functional GDN strategy.	evidence/round_04_rr2_package/executed_source/gpu/qcomem_vllm_paged_multifork_resident.py	_reuse_request; build_resident_request_group	policy=vllm-q16-shared-document-reuse	Secs. 3--5.3 [label:sec:contract]; Figs. 1--2 [label:fig:architecture]
M-GDN	Thirty GDN layers use functional request-local cache state rebound to a shared persistent prefix base.	evidence/round_04_rr2_package/executed_source/gpu/qcomem_qwen35_native_cache.py	install_native_functional_linear_cache	Transformers 5.14.1 Qwen3.5 cache semantics	Secs. 3--4.1 [label:sec:contract]; Figs. 1--2 [label:fig:architecture]
M-KERNEL	Both arms dispatch through the same recorded vLLM unified-attention Python callable with paged NHD K/V; compiled-kernel identity is not recorded.	evidence/round_04_rr2_package/executed_source/gpu/qcomem_vllm_paged_multifork_resident.py	MultiForkHitLedger.attention_forward	vLLM 0.26.0+cu129	Sec. 3 invariant 5 [label:sec:contract]; Sec. 4.1--4.2 [label:sec:protocol]
M-SCHEDULE	All N requests remain strongly referenced while query/decode model steps run round-major on one CUDA stream.	evidence/round_04_rr2_package/executed_source/gpu/run_qcomem_qwen35_vllm_paged_multifork_resident.py	_round_robin_generate; run_resident_shard	32-token query; seven one-token decode continuations	Sec. 4.2 [label:sec:protocol]; Appendix C/Table [label:tab:protocol]
M-EXACT	The earlier capacity runner compares retained CPU copies with torch.equal and persists full-vocabulary digests; the RR2 formal runner instead persists and compares shape-bound CPU-FP32 byte digests, as mapped separately below.	evidence/round_04_rr2_package/executed_source/gpu/run_qcomem_qwen35_vllm_paged_multifork_resident.py	_compare_arms; aggregate_shards	all ranks and N values	Secs. 4.2--5.3 [label:sec:protocol]; Figs. 1 and 3 [label:fig:rr2-dashboard]
M-CROSSN	The earlier capacity cohort compares query identities present at multiple fan-outs to the smallest N containing each query.	evidence/round_04_rr2_package/executed_source/gpu/run_qcomem_qwen35_vllm_paged_multifork_resident.py	aggregate_shards	128/256 unique queries; 248 larger-fan-out comparisons	Appendix B lattice [label:app:lattice] and Appendix E capacity cohort [label:app:capacity] only
M-RR2-LOGIT-HASH	The RR2 formal runner canonicalizes each full-vocabulary logit tensor as contiguous CPU FP32 bytes, records a shape/dtype-bound SHA-256, and compares the resulting semantic rows across factorial cells and fan-outs; it does not archive a pre-copy device-side torch.equal boolean.	evidence/round_04_rr2_package/executed_source/gpu/run_qcomem_qwen35_forkaudit_review_revision.py	_gpu_round_robin_generate; _validate_semantics; _validate_factorial	8 ranks; N={1,8,32}; four cells; eight generation steps	Secs. 4.3--5.3 [label:sec:protocol]; Reproducibility Statement
M-RR2-FACTOR	The primary validation crosses full-copy versus shared-document KV with materialized versus borrowed-immutable GDN setup ownership, then replays fixed-axis projections.	evidence/round_04_rr2_package/executed_source/gpu/run_qcomem_qwen35_forkaudit_review_revision.py	_run_formal_factorial_cells; _validate_factorial; aggregate_shards	8 ranks; N={1,8,32}; four cells; separate memory/witness rebuilds	Secs. 4--5.3 [label:sec:protocol]; Figs. 1--3 [label:fig:rr2-dashboard]
M-RR2-CROSSN	The offline replay reconstructs adjacent N=1-to-8 and N=8-to-32 canonical semantic equality for every arm, rank, and shared query identity.	evidence/round_04_rr2_package/replay/replay_rr2.py	validate_adjacent_cross_n	288 comparisons: 8 ranks x 4 arms x (1+8) shared queries	Sec. 5.3 [label:sec:results]; Table [label:tab:witness]; Reproducibility Statement
M-RR2-STORAGE	Pointer-free storage witnesses normalize storage identity, compute conservative half-open byte intervals from shape/stride/offset, and bind phase lifetimes through stable guards.	evidence/round_04_rr2_package/replay/replay_rr2.py	validate_storage_rows; validate_storage_phase; validate_timeline	96 timelines; 253440 storage rows; 236160 binding rows; nine adversaries including two cross-coordinate aliases	Secs. 3--4 [label:sec:contract]; Appendix D [label:app:storage-schema]; artifact map [label:app:artifact]
M-RR2-STORAGE-SPEC	The reviewer-facing storage specification fixes identity, byte-range, phase-lifetime, external-binding, and replay semantics.	evidence/round_04_rr2_package/replay/STORAGE_WITNESS_SPEC.md	storage witness specification	pointer-free identities plus external raw-byte SHA	Secs. 3--4 [label:sec:contract]; Appendix D [label:app:storage-schema]; artifact map [label:app:artifact]
