method_id	method_statement	source_path	symbol_or_lines	configuration_or_runtime	manuscript_locations
M-QCOMEM-EQ3-QUANTIZER	The Eq. 3 group quantizer partitions each floating tensor into fixed-size groups, takes the per-group minimum as bias m and maximum as u, sets s=(u-m)/(2^b-1), and stores q=clip(round((x-m)/s),0,2^b-1) as packed unsigned codes with BF16 scale and bias sidecars.	evidence/round_04_rr2_package/executed_source/gpu/qcomem_torch.py	quantize_residual (L98-L139); quantize_tensor (L186-L252); scales/biases cast at L136-L137 and L246-L247	group_size=64; b in {2,4,8,16}; SUPPORTED_BITS=(2,4,8,16) L13; degenerate groups with u==m are given s=1 rather than s=0 (L126, L234), a guard not stated in Eq. 3; the residual is grouped inside the hidden dimension (requires hidden%64==0) while cache leaves are grouped over the flattened element order with edge-value padding to a whole group (L224-L228)	Sec. 4.2 Eq. 3 [label:sec:write]; Fig. 2c [label:fig:qcomem-quantization-map]
M-QCOMEM-EQ3-DEQUANTIZER	The Read-side dequantizer unpacks the unsigned codes, multiplies by the BF16 scale and adds the BF16 bias in FP32, then casts back; the b=16 arm bypasses arithmetic entirely.	evidence/round_04_rr2_package/executed_source/gpu/qcomem_torch.py	PackedResidual.dequantize (L78-L96); PackedTensor.dequantize (L163-L184); _unpack_unsigned (L37-L52)	Residual b=16 returns a zero-copy view by contract (L79-L85); cache-leaf b=16 always clones because kernels update leaves in place (L164-L172); PackedTensor.dequantize restores original_dtype, so an FP32 source leaf round-trips as FP32	Sec. 4.3 [label:sec:read]; Fig. 2c [label:fig:qcomem-quantization-map]
M-QCOMEM-PACK-CODEC	Sub-byte codes are packed by shifting 8/b values into each uint8 and unpacked by shifting and masking; b=8 is stored as raw uint8.	evidence/round_04_rr2_package/executed_source/gpu/qcomem_torch.py	_pack_unsigned (L21-L34); _unpack_unsigned (L37-L52)	values_per_byte=8//bits; the packed dimension must fill complete bytes (L25-L26); at b=8 _pack_unsigned returns the input tensor unchanged, so its storage is the padded group buffer	Sec. 4.2 [label:sec:write]; Fig. 2c [label:fig:qcomem-quantization-map]
M-QCOMEM-GROUP-64	The group size is 64 values and each group carries exactly one BF16 scale and one BF16 bias, so a b-bit group occupies 64b/8+4 bytes against 128 bytes for a BF16 group.	evidence/round_04_rr2_package/executed_source/gpu/qcomem_torch.py and gpu/run_replay_diagnostic.py	qcomem_torch.py group_size default L102, L190, L402, L548; run_replay_diagnostic.py explicit group_size=64 at L531	68 B/group at Q8, 36 B at Q4, 20 B at Q2; verified per item against the archived shards: stored_residual_nbytes == ceil(n/64)*(64b/8+4) for 60/60 items and stored_lower_cache_nbytes matches the same identity summed over components for 180/180 item-policy pairs; NOT ARCHIVED in this repository (live implementation tree /Users/liuhanzuo/MacLLM-Bench/gpu); the runner is reachable only through the launcher path recorded in evidence/qcomem_mixed_validation_60item_20260812d/submission/qcomem-mixed-validation-reasoning.yaml	Sec. 4.2 Eq. 3 [label:sec:write]; Fig. 2c [label:fig:qcomem-quantization-map]
M-QCOMEM-EQ2-WRITE-ENUM	The Eq. 2 components are enumerated by reflection over the Transformers cache: each cache layer is walked through its dict/list/attribute graph, every floating-point tensor leaf is replaced by a PackedTensor at that layer's width, and non-floating leaves are cloned verbatim.	evidence/round_04_rr2_package/executed_source/gpu/qcomem_torch.py	quantize_transformers_cache (L396-L511); inner seed() (L420-L446); layer/bit resolution (L447-L479); per-layer and per-category error accumulation (L481-L503)	K/V, conv_states and recurrent_states are not named in code; they are reached generically. cache_layer_bits, when given, overrides attention_bits/linear_bits for the actual packing -- those two fields survive only as PackedCache metadata and as the attention/linear error-category split. A 7-entry vector is expanded to the 40 allocated Qwen3.5 layers by active_cache_layer_indices (L297-L313), inactive layers filled with 16.	Sec. 4.1 Eq. 2 [label:sec:decomposition]; Sec. 4.2 [label:sec:write]; Fig. 2a-2b [label:fig:qcomem-quantization-map]
M-QCOMEM-WRITE-PATH	The offline Write runs the document through layers [0,j), retains the layer-j boundary residual h_j^D and the lower-layer cache that the forward pass populated, and then quantizes both.	evidence/round_04_rr2_package/executed_source/gpu/qcomem_torch.py	TorchSplitCausalLM.write_lower_replay (L796-L820); run_to_depth (L789-L794); _run_layers (L757-L787); LowerReplayState.quantize (L541-L577)	One DynamicCache(config) per document (make_cache L657-L665); position_offset=0; document = chat-template prefix + truncated context; multi-document write via write_lower_replay_documents (L823-L845) is implemented but is not the path used by the 60-item panel	Sec. 4.2 [label:sec:write]; Fig. 2a [label:fig:qcomem-quantization-map]; Table 1 [label:tab:qcomem-validation60]
M-QCOMEM-READ-FORK	The online Read dequantizes the packed entry into a fresh request-local LowerReplayState: the boundary residual is dequantized and every packed cache leaf is materialized into independently owned storage by a memo-substituted deepcopy.	evidence/round_04_rr2_package/executed_source/gpu/qcomem_torch.py	PackedLowerReplayState.fork (L605-L618); PackedCache.dequantize (L368-L393); clone_cache (L315-L339)	This is a full materialize-per-query fork. In this Table 1/Table 2 PyTorch path there is no shared immutable document state, no borrowed recurrent base and no copy-on-write tail: every fork owns a private copy of all lower-layer state. The borrow/rebind/tail-COW discipline described in Sec. 4.3 belongs to the separate vLLM paged implementation (qcomem_vllm_paged_kernel.py), not to this path.	Sec. 4.3 Eq. 4 [label:sec:read]; Fig. 2c [label:fig:qcomem-quantization-map]
M-QCOMEM-READ-LOWER-REPLAY	Query tokens traverse layers [0,j) against the forked lower cache, updating it in place and producing the query-side boundary residual at the document's position offset.	evidence/round_04_rr2_package/executed_source/gpu/qcomem_torch.py	TorchSplitCausalLM.continue_lower_replay (L847-L864); _layer_context (L674-L755)	position_offset=state.current_length; the same call is reused for each generated token during decoding	Sec. 4.3 [label:sec:read]
M-QCOMEM-READ-SUFFIX	The suffix is executed through layers [j,L) over a fresh suffix cache that is seeded with the stored document residual chunk first and the query residual chunk second, then final-position norm and lm_head give the logits.	evidence/round_04_rr2_package/executed_source/gpu/qcomem_torch.py	run_suffix_cached_last_logits (L898-L921); greedy_generate_replay (L1062-L1114); run_suffix_last_logits (L886-L896)	Document chunk at position_offset=0 then query chunk at position_offset=document_length; the two-chunk boundary is deliberate because Qwen3.5 GatedDeltaNet/conv state is sensitive to chunking (comment at L1073-L1080); a suffix DynamicCache is allocated per query	Sec. 4.3 [label:sec:read]; Sec. 5.3 [label:sec:latency]
M-QCOMEM-READ-GREEDY	Decoding is greedy argmax with an EOS stop; each accepted token is replayed through the lower layers and then through the suffix layers at the next position.	evidence/round_04_rr2_package/executed_source/gpu/qcomem_torch.py and gpu/run_replay_diagnostic.py	qcomem_torch.py greedy_generate_replay (L1062-L1114), greedy_generate_dense (L978-L998), greedy_generate_full_prefix (L1118-L1139); run_replay_diagnostic.py _finish_incremental_generation (L217-L242), generate_replay_with_timing (L297-L349)	torch.argmax over the last-position logits; max_new_tokens 128 for Qasper and 32 for 2WikiMQA; TTFT is measured to the first logits and the timed variant mirrors greedy_generate_replay exactly; NOT ARCHIVED in this repository (live implementation tree /Users/liuhanzuo/MacLLM-Bench/gpu); run_replay_diagnostic.py	Sec. 4.3 [label:sec:read]; Sec. 5.1 [label:sec:setup]; Sec. 5.3 [label:sec:latency]
