paper_id	reviewer	issue_id	severity	dimensions	location	observed_evidence	why_it_matters	required_fix	verification_test	evidence_needed	expected_impact	confidence
A1	R1	A1-I1	major	novelty,significance	PDF p.3，§2.1 Related work and closest-work map；PDF pp.12–13，§6–§7	论文将最接近工作定位为标准答案抽取、选择性预测和 paired audit，并承认 q、a、s=qa 恒等式、区间和检验组件本身并非新方法；实际新证据是一套单模型、双床、特定 fallback 规则的事后审计，同床外部解析仅覆盖规则重解析。	ICLR 论文需要超出单一工件修复记录的可迁移认识。当前结果能说明这一评测资产有问题，却尚未证明所提审计结论或报告规范在更广泛的 dLLM、任务和 judge 上改变科学结论。	把贡献收窄为案例研究并加入真正的最近方法基线；更理想的是在至少另一模型、另一自由生成任务和多个独立解析器（含 learned judge/Answer Regeneration）上预注册复现同一审计。	在新增床上预先固定 canonical/strict/learned 三类 judge，报告 rescue share、判尺间 item-level disagreement、人工金标误差和关键结论是否翻转；若效应方向与解释边界跨床保持，才支持可迁移贡献。	跨模型、跨任务、跨解析器的独立复现及人工标注对照。	high	high
A1	R1	A1-I2	major	experimental_rigor,technical_soundness,limitations_responsible_claims	PDF pp.8–11，§5.3–§5.5，Tables 6–9；PDF pp.21–23，Appendices D–F	原始点估计规则得到 3/28 次翻转；在观察数据后操作化的、有方向偏好的 paired gate 得到 0/23；两个较宽松的 definite gate 各得到 2 次。论文自己说明 estimand wording 虽预注册，但门的具体实现是 post hoc，且 raw reversals 都接近小于 1 pp 的平局。	0/23 是标题级叙事中最容易被读成“排序稳健”的数字，但它来自事后选择且通过排除近似平局使翻转难以入选。并列的合理规则给出不同计数时，不能将最有利门当作确认性证据。	把 3/28 设为当前数据的主要描述，0/23 及两个宽松门全部标为探索性敏感度；在新数据前唯一锁定门、方向、最小实际差异和多重性方案后复现。	在不可见的新输出上按冻结协议计算所有 planned pairs；主门及预先声明的敏感门都应给出计数、配对效应和区间，且不得再按观察结果调整阈值。	独立确认床的预注册协议、时间戳和 item-level paired outputs。	high	high
A1	R1	A1-I3	major	technical_soundness,experimental_rigor,limitations_responsible_claims	PDF p.2，§2 与 Table 1；PDF pp.5–7，§3.2、§5.1 与 Table 4	Bed 1 使用 1319 个 GSM8K test 项，Bed 2 使用 712 个 train-short-B 项，操纵轴和生成记录也不同；格式化率约为 9.9% 对 98.3%，fallback rescue share 相差 35.2–67.1 倍。条件准确率差异因此比较的是两个完全不同的生成后选中群体。	这组数据无法区分模型能力、题目难度、提示/解码差异和格式服从度。尽管作者在文字上撤回能力排序，J1 仍占据大量篇幅，却不能提供可解释的跨床效应。	在相同 item、prompt、解码设置和可比格式干预下构造共同支持，或将 J1 完全降格为不可比较性的诊断示例，不再报告暗示模型表现差异的 level gap。	对同一问题逐项生成两种格式条件，报告无条件正确率、格式率、联合正确且格式化率及预先定义的因果/描述 estimand；检查条件化结论是否在共同支持或逆概率加权后仍存在。	相同题目上的配对生成记录和完整 prompt/decoder 元数据。	high	high
A1	R1	A1-I4	major	experimental_rigor,significance	PDF pp.9–12，§5.4–§6，Tables 8–9；PDF p.23，Table 20 的 J3 行	共同支持上的主要条件 estimand 为 310/351 对 310/347，差 +1.018 pp，95% CI 为 [−2.23, 4.17] pp；0.5 pp 等价容差是在看过数据后加入，主要判尺的 MDA80 又无法由已交付摘要识别。只有辅助 strict estimand 出现精确共同分子/联合平局。	当前数据既不能证明差异，也不能证明预先定义范围内的等价；因此 J3 不构成正向科学发现，只能说明现有摘要不足。	将 J3 保留为明确的未识别负结果，或在预先锁定主要 estimand、等价界值和功效后收集足量的 item-paired 数据。	新研究的双单侧等价检验在预注册界值内通过，且主要判尺的成对 CI 完全落入该界值；同时报告功效与缺失/不可解析项处理。	有预注册等价界值的足量成对样本及主要判尺完整输出。	medium	high
A1	R1	A1-I5	major	reproducibility,experimental_rigor	PDF p.2，§2；PDF pp.12–17，§6 与 Appendix A；PDF p.22，Appendix E	PDF p.2 明确说明冻结记录没有采样种子和温度；论文还披露原计划臂并非全部可复现，若干分析依赖不可再分发或不同 lineage 的历史工件。解析层能重算，但原始生成层无法从论文信息完整重建。	J1/J2 的差异可能受生成随机性和配置影响，而这正是当前记录无法量化的变化来源。缺失的生成 provenance 限制了独立复核和新床验证。	公开或在匿名工件中提供每臂完整 prompt、温度、随机种子、checkpoint、sampler、输出及哈希；若确实无法恢复，则删除依赖不可重建臂的确认性措辞并把它们标为历史观察。	从发布清单一键重建所有纳入主分析的臂，逐项复算 Table 1、J2 inventory 与 J3 paired counts，并验证哈希或预先声明的随机误差带。	完整生成 manifest、原始输出、运行命令及可访问匿名工件。	high	high
A1	R1	A1-I6	minor	clarity	PDF p.23，Appendix F，Table 20 的 Final synthesis 行	匿名投稿正文直接列出一个内部六席 panel 和一个外部模型评审的分数，并说明稿件如何针对外部分数定位。	既往评分不是论文的科学证据，放入盲审 PDF 会锚定或污染独立评审，也让附录看起来像修订日志而非学术内容。	从投稿 PDF 删除全部既往评审分数、代理名称和面向评分的元叙事，仅保留与科学结论有关的解释限制。	检查最终匿名 PDF，不再出现 panel、review score、overall grade 或针对某个评审等级的措辞。	清理后的匿名 PDF。	medium	high
A1	R2	A1-R2-01	major	technical_soundness,experimental_rigor,reproducibility	第 3 页 §2 Rulers；第 9 页表 5；第 18 页表 12；第 20 页表 17	同一所谓严格判尺有两个冻结来源：B1-128、B1-256、B0-256、H-PRED-95 的 formatted-correct 分别相差 4、6、4、1 项，导致 Bonferroni 计数从 S1 的 3/8 变为 S2 的 4/8。正文指定 S1 为所有计算来源，但未用独立答案真值说明它为何比直接 whitelist 更符合定义。	论文审计的对象正是 parser measurement；若严格 ruler 本身不能由声明规则唯一生成，通道正确率、显著性以及依赖 strict cell 的 J2/J3 都带有未量化的 measurement uncertainty。方向目前稳定并不等于构念已验证。	冻结一个公开、唯一的 strict parser，对所有原始输出重跑；对 S1/S2 不一致项做盲人工或独立 extractor adjudication，并把标签不确定性传播到所有主表和 pair verdict。	从原始输出只按发布代码重建 strict labels，应逐项得到唯一结果；由不知道 source 的标注者复核全部分歧，并报告在最不利 adjudication 下 headline 与 gate 是否保持。	逐项分歧清单、独立真值、唯一 parser 版本与重算结果。	high	high
A1	R2	A1-R2-02	major	experimental_rigor,technical_soundness,limitations_responsible_claims	第 6–8 页 §4、§5.3；第 10 页表 6–7；第 21–22 页 Appendix E	‘definite’ criterion 在看过数据后按保持原 claim 的方向具体化为 McNemar p<.05 且 paired CI 排零。所有三个 raw reversals 都位于 <1 pp 的四对近似平局中，而该门将该 stratum 全部排除，遂由 raw 3/28 得到 gated 0/23；28 对又共享同一 1,319 个问题。	零值是按结果选择且与反转机制近共线的条件统计，不是预先控制错误率的稳健性证据，也不能估计总体反转概率。论文虽披露这一点，但标题式‘survives’读法仍必须以 raw 结果为主，且不能靠同一床上的更多后验门升级。	把 3/28 作为唯一主 order 结果，0/23 仅留作探索性选择敏感性；在独立 arms/bed 上预先冻结 criterion、family 与分母进行确认。	新数据运行前提交完整 gate；既报告所有 raw signs，也报告 gated set，并用问题级 resampling 对整个 arm-ranking functional 给不确定性。	独立预注册复现和 arm-level/item-clustered inference。	high	high
A1	R2	A1-R2-03	major	significance,experimental_rigor,limitations_responsible_claims	第 2–5 页 §2–3.2；第 12 页 §6	Bed 1 使用 GSM8K test、free-form diffusion generation；Bed 2 使用 training split short band、不同 prompt/task format，并称 autoregressive evaluation。其格式覆盖分别约 10%–27% 与 97%–98%，条件化后选中的 population 几乎不重叠。	巨大 rescue-share 差异无法分离 parser、prompt、split、decode mode 与输出长度等因素。作者正确拒绝 capability ranking，但这也意味着跨床部分主要证明了预先明显的不可比性，无法给一般 parser effect 或校准规则提供外部效度。	在同一问题、prompt、生成输出和 decode 配置上只替换 parser；再跨至少另一模型/任务重复。若不新增实验，将标题、摘要与贡献限定为这两个历史档案的 forensic audit。	固定生成文本的交叉 parser 矩阵应识别纯 measurement effect；固定 parser 的 matched-bed 对照应量化 bed effect，并报告交互项。	matched-output parser intervention 与跨床复制。	high	high
A1	R2	A1-R2-04	major	reproducibility,experimental_rigor	第 2 页 §2；第 8 页 §5.3；第 14–17 页 Appendix A；第 22 页 Appendix E	sampling seeds 与 temperatures 未记录；原 frozen generation trials 不随匿名包再分发，只提供汇总表的 role locators。计划中的第九 Bed 1 arm 也无法从 shipped records 识别，使 36 对只剩 28 对可复现。	审计可从表格重算不等于实验可重现；无法重新生成、逐项复判或确定计划全集，使 parser 变化与历史 artifact selection 纠缠。对 missing arm 的 adversarial bound 也不能替代真实记录。	发布去标识的逐项输出、完整 config、trial manifest 与所有计划 arms；若配置不可恢复，明确把工作降为不可再执行的二次档案分析。	第三方从匿名包重建每个 arm 的 output→canonical/strict label→全部表格；manifest 必须证明计划 arm 集无遗漏。	逐项输出、完整配置、原计划全集与第三方重放。	high	high
