paper_id	polished_pdf_pages	main_text_status	visual_qa	build_status	source_caveat
A1	23	主文内容延至第13页；不符合9页主文上限	pass	pass_with_nonfatal_float_warnings	exact_latex
A10	10	主文在参考文献前不超过9页	pass	pass_with_underfull_warnings	exact_latex
A14	19	主文在参考文献前不超过9页	pass	pass_with_underfull_warnings	exact_latex_snapshot
A23	14	主文在参考文献前不超过9页	pass	pass_with_underfull_warnings	pdf_only_reconstruction
A31	18	主文在第9页结束	pass	pass	exact_latex_snapshot
A32	12	主文在参考文献前不超过9页	pass	pass	exact_latex_snapshot_assets_repin_required
C1	28	主文在第9页结束	pass	pass	exact_latex_snapshot_assets_repin_required
C2	28	主文在第9页结束	pass	pass	exact_self_contained_latex_snapshot
C3	14	主文在第9页结束	pass	pass	exact_self_contained_latex_snapshot
P1	25	主文在第9页结束	pass	pass	exact_main_tex_reconstructed_dependency_tree
P3	8	主文不超过9页	pass	pass	pdf_only_reconstruction
P5	10	主文不超过9页	pass	pass	exact_latex
P7	12	主文不超过9页	pass	pass	exact_latex
S1	16	主文不超过9页	pass	pass	exact_frozen_latex_snapshot
