claim_id	claim	claim_type	scope	evidence_ids	status	falsification_path	boundary
C01	For the true count law H_star, c_Hstar(x,k) is the exact conditional replay-flip probability and Theorem 1 follows by the tower property; fixed-k flip risk is monotone on odd early budgets, with the even-N center handled separately.	theoretical oracle identity	True H_star and count-exchangeable random-prefix replay only	EV-THEORY-TOWER;EV-R02-MONOTONICITY-AUDIT;EV-R05-BOUNDARY-AUDIT	supported under stated model	Show a true-H_star replay state or eligible stopping time that violates the displayed identity, or an exact odd-grid counterexample to the audited monotonicity/fallback contract.	Does not identify a fitted Hhat_FIT score with this conditional probability; k_H^odd exists only when its feasible set is nonempty, and FULL-N is a separate fallback.
C02	BAYES-H freezes Hhat_FIT and thresholds a distinct plug-in fitted stopping score.	method definition	FIT-frozen finite fitted-score family	EV-OMR-R469;EV-DP-R470	implemented/supplied	Find a source path that uses H_star rather than the FIT estimate, or a non-frozen table.	The fitted score has no per-problem oracle conditional-identity claim.
C03	Theorem 2 gives a CAL-screened marginal replay guarantee for a selected FIT-frozen rule.	theoretical/calibration	FIT and CAL independent i.i.d. task samples from one replay population; bounded i.i.d. g_r(K) conditional on FIT	EV-THEORY-POP;EV-OMR-R469	supported only under stated sampling assumptions	Break FIT/CAL independence, task-i.i.d. sampling, frozen family, boundedness, or EB/Bonferroni coverage.	TEST is descriptive and is not part of the theorem.
C04	The reported OMR protocol uses J=64 FIT-frozen candidates: 60 fixed-k and four BAYES-H levels, with per-rule delta=0.05/64.	protocol	OMR FIT/CAL/TEST 4000/4000/3607, seed 20260815	EV-OMR-R469;EV-REPRO-R4	recovered/main replay verified	Check the frozen runner and derived manifest selection family.	This count does not certify unreported continuum or adaptive families.
C05	On the supplied OMR replay artifact, BAYES-H's alpha=.05 TEST readout is 80.9% replay-count reduction and 0.0249 replay flip.	quantitative descriptive	TEST split of the count-exchangeable replay artifact	EV-OMR-R469;EV-REPRO-R4	byte-exact replay conditional on manifest	Run the packaged verifier and disagree with b114c72d...c8a5f7.	Full-vote replay agreement is not gold correctness, tokens, latency, or cancellation cost.
C06	The reviewer-safe derived OMR manifest records 22,230 source rows, 12,423 valid count rows, 11,607 deduplicated problems, K=32, and FIT/CAL/TEST 4000/4000/3607.	reproducibility/provenance	Derived anonymous manifest and retained-row predicate	EV-REPRO-R4	recovered and hash-pinned	Check manifest header, unique hashes, predicate, and seeded split reconstruction.	It is not a clean-room reconstruction from the omitted raw parquet.
C07	The packaged standard-library verifier reproduces the recovered main JSON byte-for-byte conditional on the derived manifest (SHA-256 b114c72d...c8a5f7).	reproducibility/provenance	Derived manifest, no source parquet required	EV-REPRO-R4	locally replayable	Run the verifier and compare semantic and byte hashes.	Secondary recovered runners are preserved but not locally rerun.
C08	At synthetic E3, alpha=.05 and delta=.15, BAYES-H is invalid (5.2% flip) while FIXED-EB remains valid (4.7%).	quantitative boundary	Pre-fixed synthetic count-order stress only	EV-DRIFT-R469;EV-MARGIN-R469	locally traceable supplied artifact	Check the frozen drift JSON at the named cell.	No natural-order, general robustness, or online-policy conclusion follows.
C09	All margin rows are synthetic, exploratory, and nonconfirmatory.	provenance boundary	Specified E1/E2/E3 synthetic harness	EV-MARGIN-R469	supported boundary	Provide a frozen selection record and an independent confirmation split.	Margins are not allocation/deployment policies.
C10	The OpenR1 analysis distinguishes 9,374 raw unique problems from 8,853 problems retaining exactly two deduplicated rollouts, then uses FIT/CAL/TEST 3000/3000/2853.	provenance/accounting	Named frozen inclusion predicate and seed	EV-OPENR1-R473;EV-REPRO-R4	locally traceable supplied/recovered artifact	Inspect runner predicate and output counts.	Counts are not interchangeable and do not add online-order evidence.
C11	Waudby-Smith and Ramdas (2020) supply a direct same-endpoint WoR-CS majority-stopper comparator; in the frozen alpha=.05 OMR random-prefix replay, BAYES-H has 80.850% count reduction versus 60.308% for the source-faithful WOR-PPR-CS instance, a prespecified paired gap of 20.542 pp with band [15.417,25.668] pp.	literature positioning and quantitative descriptive comparison	Named hash-pinned OMR random-prefix replay and same nominal alpha; scoped closest-work comparison, not exhaustiveness	EV-LIT-R4-CLOSEST;EV-WOR-CS-R1	complete and independently verified	Re-run the exact CPU DP/locks/verifier or show that the implemented strict PPR running-intersection rule does not match the cited source.	WOR-PPR-CS has lower point flip (0.000636 versus 0.024888); this is not equal-risk, Pareto, theorem-dominance, ordered-online, gold-correctness, or operational-cost evidence.
